Frequency (MHz),Peak (dBuV),Average (dBuV)
11.42813,3.54,-0.85
11.48247,3.54,-0.28
11.53707,2.97,-0.77
11.59193,2.97,-0.77
11.75806,3.62,-0.12
11.81397,3.29,0.20
11.87014,3.29,0.20
11.92658,3.86,0.12
11.98329,4.19,-7.11
12.04027,1.91,0.12
12.09752,2.07,1.02
12.15504,5.08,1.02
12.21283,5.41,1.42
12.27090,5.41,1.59
12.32925,4.43,1.83
12.38787,5.41,-5.16
12.56542,5.49,-5.16
12.62516,5.98,2.80
12.68519,5.98,-4.11
12.74551,5.49,2.80
12.98965,5.41,1.83
13.05142,5.41,1.83
13.11347,5.24,-5.73
13.17582,5.24,1.50
13.36466,5.16,-5.49
13.42821,5.41,1.99
13.49206,5.41,1.99
13.55621,5.81,-5.08
13.81588,5.57,-4.35
13.88157,5.89,2.89
13.94758,6.54,2.89
14.21475,8.17,-3.29
14.28233,7.60,-3.21
14.35024,8.01,-2.80
14.62512,8.74,5.73
14.69466,9.31,5.89
14.76453,9.88,5.81
14.97614,8.90,8.98
15.04735,8.90,4.92
15.11890,8.17,4.92
15.19079,8.17,4.84
15.40850,8.41,-3.70
15.48177,6.95,-4.02
15.55538,6.95,-4.59
15.85335,6.14,2.40
15.92873,8.41,2.40
16.00446,8.41,-4.84
16.23384,9.47,2.72
16.31103,9.47,3.05
16.38859,7.60,-5.00
16.62347,7.85,-5.08
16.70251,7.20,2.97
16.78193,7.20,1.18
16.86172,4.67,1.18
16.94190,5.08,1.83
17.02245,5.08,0.93
17.10339,4.84,0.93
17.18471,4.84,0.45
17.26642,4.27,-0.69
17.34852,3.62,-7.93
17.43101,3.62,-8.09
17.51389,3.29,-1.26
17.59717,2.07,-1.34
17.68084,2.72,-1.34
17.76491,2.72,-1.02
17.84937,1.83,-1.59
17.93424,1.91,-1.59
18.01952,2.24,-1.34
18.10520,2.24,-1.83
18.19128,1.75,-1.83
18.27778,2.24,-1.67
18.36468,2.24,-1.59
18.45200,2.48,-1.42
18.53974,2.48,-1.42
18.62789,1.42,-1.91
18.71646,2.07,-1.91
18.80546,2.15,-1.83
18.89487,2.15,-1.83
18.98471,2.15,-1.83
19.07498,1.50,-1.83
19.16568,1.91,-1.59
19.25681,2.48,-8.82
19.34837,2.48,-8.82
19.44037,3.05,-1.59
19.53280,1.99,-8.90
19.62567,2.40,-1.50
19.71899,2.40,-1.42
19.81275,2.56,-1.83
19.90696,2.56,-8.82
20.00161,2.40,-8.82
20.09671,1.59,-1.67
20.19227,1.59,-1.67
20.28828,2.32,-8.90
20.38474,2.32,-9.07
20.48167,1.99,-1.50
20.57905,1.26,-2.07
20.67690,1.42,-2.07
20.77522,2.07,-1.99
20.87400,2.56,-1.99
20.97325,2.56,-1.99
21.07297,1.50,-1.99
21.17317,1.10,-1.83
21.27384,2.24,-1.83
21.37500,2.40,-1.50
21.47663,2.40,-2.24
21.57875,1.18,-2.24
21.78444,1.50,-1.83
21.88802,1.59,-1.99
21.99209,1.67,-1.99
22.09666,6.22,-1.59
22.20172,6.38,6.30
22.30729,6.46,-1.99
22.41335,1.75,-1.99
22.51993,1.75,-1.67
22.62700,1.34,-1.67
22.73459,6.38,-1.99
22.84269,1.83,6.30
22.95130,1.83,-1.67
23.06043,1.50,-1.91
23.17007,1.50,6.46
23.39094,6.14,16.14
23.50215,5.89,-1.50
23.61390,2.32,-1.75
23.72618,6.06,-2.40
23.83899,6.30,-2.40
23.95234,6.46,6.38
24.06623,3.94,16.14
24.18066,3.94,-2.40
24.29563,2.24,-2.40
24.41115,1.91,16.30
24.52722,1.67,-2.32
24.64385,1.67,0.12
24.87876,6.06,5.98
24.99705,6.30,15.81
25.11590,6.46,16.06
25.23532,6.30,16.22
25.35531,6.14,6.22
25.47587,5.89,0.04
25.59700,1.83,5.81
25.71871,1.34,-2.72
25.84100,6.38,6.46
25.96387,6.14,-1.91
26.08732,5.89,-2.07
26.33599,5.89,-2.07
26.46121,6.14,-2.40
26.58703,6.38,6.22
26.71344,1.50,6.46
26.84046,1.50,-1.91
26.96808,6.22,16.14
27.09631,6.38,6.30
27.22514,1.99,-0.04
27.35459,3.21,6.46
27.48466,3.21,-2.15
27.61534,1.10,-2.15
27.87858,6.30,15.73
28.01113,2.80,16.30
28.14432,2.80,-0.45
28.27814,2.07,-2.15
28.41260,1.59,-2.15
28.54769,1.59,-2.24
28.68343,1.34,-2.24
28.81981,1.83,-2.07
28.95685,2.56,-1.75
29.09453,2.56,-2.07
29.23287,1.34,-2.56
29.37186,2.24,-2.56
29.51152,2.24,-2.15
29.65184,2.24,-2.15
30.07682,14.76,1.99
30.21983,14.76,10.28
30.36352,12.72,10.45
30.50789,12.72,10.53
30.65295,12.64,10.93
30.79869,12.64,10.45
30.94514,12.48,10.45
31.09227,12.89,2.24
31.24011,12.89,10.45
31.38865,14.27,10.45
31.53790,14.27,10.37
31.68785,12.24,10.28
31.83852,12.80,10.28
31.98991,13.46,10.45
32.14201,13.46,10.37
32.29484,12.56,10.28
32.44839,12.32,10.28
