Frequency (MHz),Peak (dBuV)
1.52682,30.48
1.53056,30.76
1.53430,33.88
1.53806,34.02
1.54182,34.30
1.54560,34.44
1.54938,34.44
1.55317,35.29
1.55698,43.49
1.56079,43.78
1.56461,43.78
1.56844,43.92
1.57228,43.35
1.57613,43.21
1.57999,39.11
1.58385,38.97
1.58773,38.83
1.59162,33.31
1.59551,30.34
1.59942,31.47
1.60334,31.47
1.60726,31.47
1.61119,32.46
1.61514,33.59
1.61909,33.59
1.62306,33.59
1.62703,36.14
1.63101,36.14
1.63501,36.28
1.63901,36.70
1.64302,37.27
1.64704,37.27
1.65107,37.13
1.65512,34.44
1.65917,34.44
1.66323,33.45
1.66730,33.45
1.67138,33.45
1.67547,33.59
1.67958,35.29
1.68369,35.29
1.68781,38.40
1.69194,42.36
1.69608,42.36
1.70023,42.36
1.70440,43.35
1.70857,43.35
1.71275,43.21
1.71694,42.22
1.72115,41.23
1.72536,41.23
1.72958,41.09
1.73382,40.95
1.73806,39.25
1.74232,39.11
1.74658,39.11
1.75086,39.25
1.75514,43.07
1.75944,43.21
1.76375,43.21
1.76807,44.06
1.77673,47.03
1.78108,47.03
1.78544,46.89
1.78981,45.19
1.79419,44.20
1.79859,43.35
1.80299,43.21
1.80740,41.09
1.81183,41.23
1.81626,42.50
1.82071,42.64
1.82517,42.50
1.82963,45.05
1.83411,45.19
1.83860,44.06
1.84762,47.45
1.85214,47.60
1.85667,47.45
1.86122,47.17
1.86577,47.03
1.87492,42.22
1.87951,42.08
1.88411,38.12
1.88872,37.13
1.89335,36.42
1.89798,43.21
1.90263,44.20
1.90729,45.19
1.91195,45.19
1.91664,45.19
1.93075,45.19
1.93547,45.05
1.94021,44.20
1.94496,37.69
1.94972,37.69
1.95449,37.41
1.95928,37.27
1.96407,35.29
1.96888,35.43
1.97370,35.71
1.97853,41.09
1.98338,41.23
1.98823,41.37
1.99310,41.94
2.00777,39.39
2.01269,39.25
2.01762,37.27
2.02255,37.27
2.02751,37.13
2.03247,37.13
2.03744,36.70
2.04243,36.70
2.07262,37.27
2.07769,36.99
2.08278,36.85
2.08787,36.56
2.09298,36.42
2.09811,36.42
2.10324,36.42
2.10839,41.23
2.11355,43.07
2.11873,43.21
2.12392,43.35
2.12911,43.35
2.13433,43.35
2.13955,43.21
2.14479,42.36
2.15004,42.36
2.15530,38.68
2.16058,38.40
2.16587,38.40
2.17117,39.25
2.17649,40.10
2.18181,45.19
2.18715,45.19
2.21406,45.19
2.21948,43.07
2.22491,42.79
2.23036,42.64
2.23582,41.37
2.24129,41.23
2.24678,43.07
2.25228,44.06
2.25779,45.19
2.26332,45.19
2.28556,45.05
2.29116,45.19
2.29676,45.19
2.30239,45.19
2.30802,41.23
2.31367,41.09
2.31934,41.09
2.32501,41.09
2.33641,44.77
2.34213,44.91
2.34786,44.77
2.35937,43.21
2.36515,43.21
2.37674,36.56
2.38256,36.85
2.38839,36.99
2.39424,36.99
2.40010,41.09
2.40598,41.23
2.41187,41.23
2.41777,41.23
2.42369,41.23
2.42962,40.24
2.43557,38.26
2.44153,34.44
2.44751,34.44
2.45350,34.58
2.45951,34.58
2.46553,34.44
2.47156,38.40
2.47761,38.40
2.48368,39.11
2.48976,39.25
2.49585,39.11
2.50196,38.26
2.50809,38.54
2.51423,38.40
2.52038,29.63
2.52655,30.20
2.53274,28.36
2.53894,33.31
2.54515,42.08
2.55138,42.22
2.55763,42.22
2.56389,42.08
2.57017,38.26
2.57646,38.26
2.58277,35.15
2.58909,35.01
2.59543,34.72
2.60178,37.27
2.60815,43.07
2.61454,45.19
2.62094,45.19
2.62735,45.19
2.63378,44.34
2.64023,44.20
2.64669,43.92
2.65317,41.09
2.65967,41.09
2.66618,41.09
2.67271,43.07
2.67925,45.19
2.68581,45.19
2.69238,45.19
2.69897,45.19
2.70558,45.19
2.71220,45.19
2.71884,43.35
2.72550,43.35
2.73217,43.35
2.73886,43.21
2.74556,43.21
2.75228,45.19
2.75902,45.19
2.76578,45.19
2.77255,45.19
2.77933,44.34
2.78614,43.21
2.79296,43.21
2.79980,43.07
2.80665,39.39
2.81352,41.09
2.82041,41.80
2.82731,42.50
2.83423,43.07
2.84117,44.06
2.84813,44.06
2.85510,44.06
2.86209,40.10
2.86909,40.10
2.87612,40.10
2.88316,39.96
2.89022,39.25
2.89729,40.24
2.90438,40.24
2.91149,42.50
2.91862,42.08
2.92577,42.22
2.93293,42.08
2.94011,31.47
2.94731,31.47
2.95452,41.80
2.96175,41.94
2.96900,43.07
2.97627,48.02
2.98356,48.16
2.99086,48.16
2.99818,48.02
3.00552,43.35
3.01288,43.49
3.02026,43.35
3.02765,43.35
3.03506,45.05
3.04249,44.06
3.04994,47.88
3.05740,48.02
3.06489,47.88
3.07239,47.74
3.07991,45.05
3.08745,44.20
3.09501,47.03
3.10259,48.02
3.11018,49.43
3.11780,49.43
3.12543,49.43
3.13308,49.15
3.14075,47.17
3.14844,47.03
3.15615,45.19
3.16387,46.89
3.17162,47.03
3.17938,47.03
3.21063,47.03
3.21849,40.24
3.22637,40.66
3.23426,40.66
3.24218,40.38
3.25012,43.21
3.25807,43.35
3.26605,44.06
3.27405,44.20
3.28206,43.64
3.29009,43.21
3.29815,41.09
3.30622,41.09
3.31432,41.09
3.32243,41.94
3.33056,45.19
3.33872,45.19
3.34689,45.19
3.35508,43.21
3.36330,43.21
3.37153,43.21
3.37978,43.21
3.38806,47.03
3.39635,49.01
3.40466,49.15
3.41300,49.15
3.42135,49.01
3.43813,47.88
3.44654,48.73
