Frequency (MHz),Peak (dBuV),Average (dBuV)
12.27090,15.72,2.96
12.32925,13.86,3.36
12.38787,13.60,3.36
12.44677,15.86,9.34
12.50596,15.86,9.34
12.56542,14.66,3.36
12.62516,14.66,3.36
12.68519,14.53,3.23
12.74551,14.13,3.23
12.80611,14.13,4.16
12.86700,28.22,10.01
12.92818,28.22,9.34
12.98965,13.06,2.16
13.05142,12.67,1.77
13.11347,12.67,1.90
13.17582,13.20,1.90
13.23847,24.10,8.81
13.30142,24.10,8.28
13.36466,12.67,2.16
13.42821,13.33,2.30
13.49206,13.33,3.36
13.55621,13.33,3.36
13.62067,25.30,8.28
13.68543,25.30,8.41
13.75050,24.76,9.21
13.81588,13.46,2.83
13.88157,13.46,3.09
13.94758,14.39,3.23
14.01389,27.69,10.01
14.08053,27.95,9.87
14.14748,27.95,9.74
14.21475,14.26,2.83
14.28233,13.73,2.70
14.35024,14.79,2.70
14.41847,16.65,8.28
14.48703,16.92,8.28
14.55591,16.92,8.28
14.62512,14.39,2.56
14.69466,13.33,2.56
14.76453,13.33,2.96
14.83474,28.62,9.87
14.90527,28.62,9.74
14.97614,13.20,3.09
15.04735,13.20,2.70
15.11890,12.93,2.70
15.19079,13.20,2.96
15.26301,19.84,8.15
15.33559,19.84,8.81
15.40850,12.93,2.70
15.48177,13.06,2.96
15.55538,13.73,2.96
15.62934,27.16,10.01
15.70366,27.16,9.74
15.77832,15.06,3.49
15.85335,15.06,3.36
15.92873,14.79,3.36
16.00446,14.79,4.56
16.08056,25.96,9.48
16.15702,25.96,9.48
16.23384,14.13,4.03
16.31103,13.60,4.03
16.38859,13.60,3.89
16.46651,22.90,9.74
16.54481,22.90,9.87
16.62347,14.39,3.76
16.70251,14.53,4.29
16.78193,14.93,4.29
16.86172,28.88,11.47
16.94190,28.88,11.47
17.02245,16.79,4.96
17.10339,16.92,5.09
17.18471,16.92,5.09
17.26642,16.65,5.09
17.34852,16.52,5.62
17.43101,17.19,5.75
17.51389,18.12,5.75
17.59717,18.12,5.89
17.68084,28.62,13.46
17.76491,28.62,13.86
17.84937,18.78,5.89
17.93424,17.85,6.15
18.01952,24.63,12.93
18.10520,24.63,13.06
18.19128,23.43,13.20
18.27778,17.45,5.75
18.36468,17.32,5.35
18.45200,26.23,12.27
18.53974,26.23,12.27
18.62789,15.99,4.69
18.71646,15.99,4.42
18.80546,15.72,5.49
18.89487,27.02,11.20
18.98471,27.02,11.20
19.07498,16.12,4.03
