Frequency (MHz),Peak (dBuV),Average (dBuV)
6.59183,6.22,-3.94
6.62317,6.30,-4.27
6.65466,6.30,-4.19
6.68631,6.87,-3.86
6.71810,6.87,-3.86
6.75004,5.98,-3.94
6.78213,5.89,-3.94
6.81438,21.26,0.77
6.84678,21.26,0.85
6.87934,19.07,2.32
6.91205,6.71,-3.70
6.94491,7.44,-3.54
6.97793,7.44,-3.54
7.01111,7.36,-3.70
7.04445,7.20,-3.54
7.07794,6.95,-3.37
7.11160,7.85,-3.29
7.14541,9.72,-3.29
7.17939,9.72,-3.54
7.21352,29.80,3.54
7.24782,29.88,4.59
7.28228,29.88,3.78
7.31691,7.93,-3.05
7.35170,8.01,-2.97
7.38666,8.01,-2.72
7.42178,7.52,-2.48
7.45707,7.52,-2.48
7.49252,8.17,-2.48
7.52815,8.58,-2.40
7.56394,8.58,-2.40
7.59991,7.36,-2.80
7.63604,15.24,1.83
7.67235,15.24,1.83
7.70883,8.25,-2.24
7.74549,8.25,-2.24
7.78231,8.82,-2.40
7.81932,8.82,-2.40
7.85650,8.50,-2.32
7.89385,9.88,-2.15
7.93139,9.88,-2.07
7.96910,8.50,-2.07
8.00699,21.02,4.67
8.04506,29.39,4.67
8.08331,29.39,5.57
8.12175,8.90,-1.91
8.16037,8.66,-1.83
8.19917,10.28,-1.83
8.23815,12.15,-1.83
8.27732,12.15,-1.91
8.31668,11.50,-1.67
8.35622,12.15,-1.67
8.39595,12.15,-1.83
8.43588,25.89,3.62
8.47599,25.89,3.94
8.51629,10.45,-1.75
8.55678,10.37,-1.34
8.59747,10.61,-1.34
8.63835,10.61,-1.34
8.67942,9.55,-1.26
8.72069,9.07,-1.26
8.76215,9.72,-1.50
8.80381,9.72,-1.59
8.84567,26.06,4.67
8.88773,26.06,5.33
8.92999,12.56,-1.26
8.97245,10.20,-1.02
9.01512,9.55,-1.02
9.05798,9.63,-0.93
9.10105,9.63,-0.93
9.14432,9.72,-0.85
9.18780,10.85,-0.85
9.23149,29.63,5.98
9.27538,29.63,5.73
9.31948,9.96,-0.53
9.36380,9.96,-0.77
9.40832,9.47,-0.45
9.45305,13.21,-0.45
9.49800,13.21,-0.69
9.54316,11.59,-0.69
9.58854,15.00,-0.69
9.63413,16.06,3.46
9.67994,16.06,3.46
9.72596,16.30,-0.12
9.77221,16.30,-0.12
9.81867,14.84,0.20
9.86536,17.36,0.20
9.91227,22.89,0.20
9.95940,25.89,1.02
10.00675,28.33,7.28
10.05433,30.20,7.60
10.10214,30.20,7.52
10.15017,18.82,1.02
10.19843,18.82,1.02
10.24692,17.44,1.26
10.29565,17.44,1.34
10.34460,15.57,1.42
10.39378,13.62,1.42
10.44321,22.07,7.60
10.49286,22.07,7.60
10.54275,14.19,1.99
10.59288,18.66,1.99
10.64325,18.66,1.83
10.69385,15.98,1.99
10.74470,14.51,1.99
10.79579,14.51,1.99
10.84712,28.90,8.90
10.89870,28.90,9.31
10.95052,13.29,2.15
11.00258,12.97,1.99
11.05490,13.29,2.24
11.10746,13.29,2.48
11.16028,13.70,2.56
11.21334,28.09,9.80
11.26666,28.09,9.63
11.32023,28.09,9.55
11.37405,13.13,2.80
11.42813,13.46,2.56
11.48247,13.94,2.48
11.53707,13.94,2.56
11.59193,13.05,2.48
11.64704,24.35,8.50
11.70242,24.35,8.58
11.75806,14.76,2.80
11.81397,14.76,2.80
11.87014,13.46,3.21
11.92658,15.24,3.37
11.98329,15.24,3.37
12.04027,30.61,10.85
12.09752,30.61,11.26
12.15504,14.35,3.78
12.21283,14.67,3.78
12.27090,18.01,3.78
12.32925,18.01,4.02
12.38787,15.08,4.02
12.44677,15.08,6.22
12.50596,15.08,6.22
12.56542,14.76,4.67
12.62516,16.30,4.59
12.68519,16.30,4.43
12.74551,15.73,4.19
12.80611,16.06,7.68
12.86700,30.45,10.53
12.92818,30.45,10.45
12.98965,14.67,3.54
13.05142,14.67,3.46
13.11347,13.78,3.21
13.17582,15.33,3.46
13.23847,25.33,9.80
13.30142,25.33,9.72
13.36466,14.11,3.37
13.42821,14.43,3.62
13.49206,14.92,4.92
13.55621,14.92,4.92
13.62067,27.85,9.72
13.68543,27.85,9.80
13.75050,27.60,11.18
13.81588,14.59,4.27
13.88157,15.89,4.67
13.94758,15.89,4.76
14.01389,24.59,11.18
14.08053,29.72,11.83
14.14748,29.72,11.99
14.21475,15.57,4.19
14.28233,14.67,4.11
14.35024,14.67,4.11
14.41847,20.77,9.15
14.48703,20.77,9.15
14.55591,20.04,9.15
14.62512,14.59,3.86
14.69466,13.70,3.86
14.76453,13.94,3.78
14.83474,30.61,10.53
14.90527,30.61,9.63
14.97614,15.89,6.46
15.04735,13.70,2.97
15.11890,13.70,3.21
15.19079,13.70,3.21
15.26301,19.23,7.44
15.33559,19.23,7.44
15.40850,14.43,3.78
15.48177,14.84,4.02
15.55538,14.84,4.02
15.62934,29.55,10.45
15.70366,29.55,10.45
15.77832,16.54,6.06
15.85335,16.46,4.67
15.92873,16.46,5.16
16.00446,15.81,5.41
16.08056,27.36,10.77
16.15702,27.36,10.77
16.23384,15.49,5.65
16.31103,16.14,5.49
16.38859,17.03,5.49
16.46651,26.06,11.75
16.54481,26.06,12.48
16.62347,17.28,5.98
16.70251,17.20,6.22
16.78193,18.09,6.38
16.86172,30.37,14.43
16.94190,30.37,14.51
17.02245,19.23,7.11
17.10339,18.98,7.60
17.18471,20.04,7.60
17.26642,20.04,8.66
17.34852,19.88,8.66
17.43101,19.88,7.76
17.51389,18.74,7.85
17.59717,21.26,7.85
17.68084,31.18,15.24
17.76491,31.18,15.49
17.84937,20.20,7.76
17.93424,19.80,7.76
18.01952,24.84,14.92
18.10520,24.84,14.76
18.19128,24.43,14.67
18.27778,18.58,7.36
18.36468,18.82,6.87
18.45200,28.74,14.59
